flag,grid_rows,total_hours,total_fishing_hours,vessel_presence
CHN,4439031,118000669.5344,40704789.1801,16703767
UNKNOWN,905229,38757685.8923,14243557.4948,3838443
NOR,1378322,38217832.991,3917668.3661,4178023
USA,2219468,23047546.6234,5038774.2059,4493388
TWN,4012857,19760207.1954,10358242.9555,6285217
ESP,2004597,19746569.9779,7368066.8193,3435720
KOR,1542403,17486653.2538,5871783.6389,3233329
RUS,1980658,15115690.1428,5876384.2928,4505432
JPN,3138001,14098323.374,5173016.1403,4692476
FRA,770137,12993169.2369,5222934.7928,1924987
ITA,257336,12945634.4832,6575666.7321,1143606
GBR,587546,12134826.1857,4364433.669,1392362
ISL,461566,11387996.4186,1899714.9665,1246677
DNK,287905,8712631.8994,1811719.2344,805797
NLD,161913,7931969.0649,1933296.1343,607453
CAN,420602,6362614.6895,1220477.0528,728651
ARG,269181,5458462.8238,1732069.6173,1362888
PRT,577917,4848574.4857,1779795.1538,861781
TUR,61445,3565471.4684,937065.7151,269236
DEU,173164,3455517.9455,690301.481,291312
SWE,74934,3271621.5878,501949.6521,220085
ZAF,183427,3091198.6334,1115756.4898,524593
IRL,133512,3082477.6825,962896.9458,398398
GRC,79424,2657434.9726,1057753.509,197693
AUS,230295,2161218.4171,707936.5371,286367
FRO,260683,2051649.4041,843302.1781,468170
MYS,68789,1930591.2275,553536.5107,115995
HRV,33055,1865535.2134,721152.2868,150300
BHR,4185,1731752.6211,218721.85199999998,27833
POL,44242,1684453.7855,352369.6118,153404
NZL,239796,1670399.3547,656707.4154,426855
CHL,176832,1519875.2617,247542.65780000002,305279
PER,99099,1480186.3738,170876.0379,392903
BRA,121098,1242263.6862,644258.945,200756
VUT,485031,1235158.2271,750960.0645,552652
MAR,36181,1149494.7967,571882.6444,121771
BEL,60318,1137930.4644,404615.7876,176214
NAM,122876,1111530.4738,480110.1434,240612
URY,57166,1061227.3355,404937.384,164760
IND,55639,975573.3923000001,336438.5035,145462
FJI,206221,849442.6839000001,535880.6483,264129
LKA,110485,814701.9465,331416.7705,168206
GHA,224982,809497.4162,287729.2549,316703
LVA,32041,800177.9216,140491.0931,63804
SYC,213166,774415.5839,472651.7596,251424
FSM,371046,687386.0671999999,248571.9505,448241
SEN,73083,628876.8639,381060.5041,118530
FIN,36345,619165.9914,150317.8332,74355
MEX,341976,601991.2434,149868.0973,429456
EST,59717,580303.9506,163126.5127,93182
GRL,146855,550794.7181,210499.4469,189211
PNG,253525,532279.9452,128013.233,313477
ALB,26402,425882.3292,184402.734,39371
AGO,27197,418689.50419999997,198607.0399,48650
BGR,6638,373001.0018,122120.80219999999,23304
MUS,67994,361460.5372,170172.1,88497
LTU,61723,344813.659,96318.4883,83062
MLT,21413,343939.2263,102792.9372,27777
QAT,13787,343611.2756,162300.8494,32873
ECU,203032,328417.2758,70319.9421,216800
CYP,34526,325000.9934,111983.9207,41246
FLK,148357,314101.3924,131225.9438,211683
PAN,124329,290817.4207,74612.3533,127785
BLZ,112773,279551.6118,79383.6536,114886
NCL,85534,268440.0908,123503.5241,153513
VEN,85563,261685.4645,71225.948,92838
PHL,111002,261066.3448,45583.496,144734
IRN,15852,258028.8607,86942.208,23364
COL,148742,239203.8115,58842.8487,170315
MHL,137398,221866.2413,71160.4104,158609
MOZ,20086,220368.1172,128811.3462,37658
VNM,4042,193566.1837,89631.241,13380
KIR,113791,190815.1357,44713.8675,123155
GEO,7820,174290.6607,41039.182,13398
COK,52596,173843.439,103092.4562,58686
MDG,7329,152743.2898,90031.0551,11715
UKR,46928,149432.0596,60103.9204,51424
THA,6903,134587.2199,56145.7469,8495
NGA,10340,120382.5864,77964.437,16749
MRT,16144,119775.7698,43189.0494,16921
PYF,43395,116539.8176,51621.5603,51218
ISR,2603,113230.2683,78641.7742,5236
BTN,10873,113025.2781,37969.025200000004,11724
SAU,2807,92930.4412,42094.2534,4664
GNB,11224,89430.7187,45302.1298,17059
SGP,5660,86727.0471,30368.7097,6389
MNE,1383,84297.0497,20445.2863,2202
IDN,6316,73221.8008,23798.0997,6327
ROU,1365,72617.1331,11395.5175,1711
CUW,34166,69165.4259,14325.5048,38837
NRU,46756,65340.3701,16834.0844,48742
CMR,3249,61956.4022,35847.8113,4244
SLB,28607,57693.1968,13751.2643,29596
CIV,18943,53019.3066,24831.3796,20225
GIN,6683,49427.2625,27616.0076,9467
SHN,25192,49160.3516,14687.1085,26053
VCT,12459,48625.8425,24933.7277,12934
LBN,3605,46722.9925,19933.4301,4453
