month_period,gap_count,unique_vessels,unique_flags,total_gap_hours,average_gap_hours,median_gap_hours
2017-01,1195,601,52,128539.88333333333,107.56475592747559,21.95
2017-02,1206,597,53,129381.51666666666,107.28152294085129,24.366666666666667
2017-03,1390,755,54,118247.01666666666,85.06979616306954,21.241666666666667
2017-04,1084,621,51,106214.53333333334,97.9838868388684,22.025
2017-05,1090,608,52,154339.21666666667,141.59561162079513,24.375
2017-06,1139,638,51,163548.75,143.58977172958737,24.5
2017-07,1381,680,49,166829.48333333334,120.80339126237027,22.266666666666666
2017-08,1502,625,50,149380.86666666667,99.45463826009765,23.475
2017-09,1548,647,55,179235.71666666667,115.7853466838932,30.008333333333333
2017-10,1491,705,53,189322.53333333333,126.97688352336239,33.016666666666666
2017-11,1277,648,52,161635.95,126.57474549725922,24.583333333333332
2017-12,995,533,46,109046.18333333333,109.5941541038526,24.283333333333335
2018-01,1201,637,56,131498.15,109.49054954204829,25.833333333333332
2018-02,1718,755,57,205271.88333333333,119.4830519984478,22.21666666666667
2018-03,1955,996,59,189670.16666666666,97.01798806479113,22.85
2018-04,1591,855,62,131937.85,82.92762413576368,21.3
2018-05,1491,705,61,190781.05,127.95509725016767,27.35
2018-06,1287,666,56,162418.21666666667,126.19908054908055,27.783333333333335
2018-07,1859,784,60,171400.66666666666,92.2004662004662,20.2
2018-08,2083,769,53,203607.91666666666,97.74743959033445,19.783333333333335
2018-09,1852,733,59,174497.71666666667,94.22122930165587,22.324999999999996
2018-10,1950,806,58,179034.11666666667,91.81236752136752,23.625
2018-11,1567,723,58,142083.98333333334,90.67261221016805,23.916666666666668
2018-12,1289,661,57,143676.86666666667,111.46382208430308,25.083333333333332
2019-01,1329,670,58,138087.75,103.90349887133183,25.366666666666667
2019-02,1793,782,55,165657.2,92.39107640825434,22.7
2019-03,1790,772,57,173499.51666666666,96.927104283054,23.15
2019-04,1440,719,58,140765.4,97.75375,24.96666666666667
2019-05,1478,770,55,144982.18333333332,98.09349345963012,22.3
2019-06,1516,767,56,150954.61666666667,99.5742854001759,26.075000000000003
2019-07,2188,797,60,174255.28333333333,79.64135435709933,22.133333333333333
2019-08,1619,749,58,164669.88333333333,101.71086061354745,28.833333333333332
2019-09,1973,771,59,164514.38333333333,83.38286028045277,22.383333333333333
2019-10,2114,843,64,160369.85,75.86085619678335,23.741666666666667
2019-11,1816,839,55,134301.91666666666,73.95479992657856,23.75
2019-12,1171,614,53,64854.433333333334,55.38380301736408,23.25
