vessel_class,flag,gap_count,total_gap_hours
drifting_longlines,TWN,5781,730721.7666666667
drifting_longlines,CHN,4215,412658.76666666666
drifting_longlines,USA,1574,215701.63333333333
drifting_longlines,ESP,1421,307379.6
drifting_longlines,JPN,920,87910.63333333333
drifting_longlines,LKA,735,21388.35
drifting_longlines,VUT,612,55520.95
drifting_longlines,UNKNOWN,559,43326.78333333333
drifting_longlines,KOR,543,72449.08333333333
drifting_longlines,SYC,477,95104.96666666667
drifting_longlines,PRT,342,29540.416666666668
drifting_longlines,FJI,282,21334.466666666667
drifting_longlines,FSM,161,3042.0333333333333
drifting_longlines,ECU,136,29558.25
drifting_longlines,AUS,120,11367.233333333334
drifting_longlines,ZAF,109,6808.183333333333
drifting_longlines,MYS,107,7341.666666666667
drifting_longlines,MUS,69,2672.166666666667
drifting_longlines,PAN,60,8820.783333333333
drifting_longlines,BRA,48,2364.7333333333336
drifting_longlines,ALB,47,1629.2166666666667
drifting_longlines,GBR,41,5039.45
drifting_longlines,VEN,33,7819.783333333333
drifting_longlines,COK,29,4268.883333333333
drifting_longlines,NZL,25,1441.3166666666666
drifting_longlines,KEN,23,768.0333333333333
drifting_longlines,SMR,23,1173.45
drifting_longlines,FRA,21,429.0833333333333
drifting_longlines,VCT,20,479.68333333333334
drifting_longlines,CIV,14,457.3666666666667
drifting_longlines,BEL,13,230.46666666666667
drifting_longlines,SEN,12,3391.2333333333336
drifting_longlines,CAN,8,850.4333333333334
drifting_longlines,CXR,8,3075.4500000000003
drifting_longlines,MHL,7,1388.0666666666666
drifting_longlines,NCL,6,142.79999999999998
drifting_longlines,PNG,6,267.08333333333337
drifting_longlines,COM,5,85.55
drifting_longlines,TZA,5,1418.8
drifting_longlines,IRN,4,63.45
drifting_longlines,OMN,4,1200.5333333333333
drifting_longlines,IND,3,86.96666666666667
drifting_longlines,NAM,3,673.5666666666666
drifting_longlines,KIR,2,32.13333333333333
drifting_longlines,PYF,2,31.116666666666667
drifting_longlines,YEM,2,92.41666666666667
drifting_longlines,GRC,1,15.633333333333333
drifting_longlines,MDG,1,13.316666666666666
drifting_longlines,MOZ,1,14.333333333333334
drifting_longlines,TCA,1,12.216666666666669
other,USA,1001,154835.55
other,ESP,354,39287.0
other,RUS,311,14709.933333333334
other,CHN,304,26623.766666666666
other,AUS,232,45666.916666666664
other,ZAF,223,20327.966666666664
other,FRA,196,14432.833333333334
other,NOR,193,16947.15
other,JPN,182,29145.316666666666
other,KOR,161,22153.166666666668
other,PRT,150,7511.35
other,CAN,123,15582.3
other,NZL,79,15053.283333333333
other,GHA,68,7187.566666666667
other,UKR,62,6349.35
other,MUS,59,1695.0
other,GBR,55,5257.333333333333
other,COK,54,5325.2
other,BLZ,36,1808.4166666666667
other,UNKNOWN,34,3035.116666666667
other,TWN,31,16056.300000000001
other,URY,27,3624.5666666666666
other,FRO,24,1415.4833333333333
other,NAM,22,1869.5
other,IRL,21,682.4333333333334
other,IDN,16,1084.3833333333332
other,PAN,15,5655.349999999999
other,SHN,15,3212.8166666666666
other,MWI,13,1263.4666666666665
other,BRA,12,368.2
other,VEN,12,579.8333333333334
other,SEN,11,641.7833333333333
other,DEU,10,997.8000000000001
other,ARG,8,1370.5
other,VUT,7,1956.2333333333333
other,ISL,6,183.63333333333333
other,PER,6,354.0
other,CHL,5,545.9833333333333
other,ITA,5,132.01666666666668
other,AGO,4,188.3
other,GNQ,4,242.3
other,LTU,4,460.2833333333333
other,NGA,4,996.9166666666667
other,PNG,4,120.88333333333333
other,ECU,2,1960.8666666666666
other,LVA,2,460.7833333333333
other,MOZ,2,394.56666666666666
other,KEN,1,41.6
other,LKA,1,15.033333333333331
other,MLT,1,15.816666666666666
other,YEM,1,467.6666666666667
squid_jigger,CHN,8814,613821.55
squid_jigger,TWN,6421,330328.01666666666
squid_jigger,VUT,340,10893.083333333334
squid_jigger,KOR,234,15287.883333333333
squid_jigger,JPN,97,11367.633333333333
squid_jigger,ARG,53,1055.5333333333333
squid_jigger,UNKNOWN,50,11071.083333333332
squid_jigger,IRN,4,631.95
squid_jigger,RUS,4,377.55
squid_jigger,CYP,2,316.03333333333336
squid_jigger,ATF,1,46.45
squid_jigger,IRQ,1,12.183333333333334
trawlers,CHN,1798,108680.81666666667
trawlers,ESP,1680,169047.58333333334
trawlers,KOR,906,78677.7
trawlers,USA,663,75318.71666666667
trawlers,ARG,422,13349.199999999999
trawlers,RUS,399,22439.783333333333
trawlers,NZL,268,39597.28333333333
trawlers,FRA,190,4851.8
trawlers,IRL,178,9304.783333333333
trawlers,PRT,169,12833.766666666666
trawlers,BLZ,139,13116.85
trawlers,NAM,132,11849.7
trawlers,GBR,129,8936.65
trawlers,FLK,113,5153.566666666667
trawlers,AUS,111,10946.9
trawlers,EST,75,2322.55
trawlers,SEN,75,5646.483333333334
trawlers,FRO,61,2182.0833333333335
trawlers,UNKNOWN,50,2673.7833333333333
trawlers,URY,49,4037.7166666666667
trawlers,ZAF,46,1586.1166666666668
trawlers,NOR,30,854.3
trawlers,CAN,28,1492.0
trawlers,DNK,22,956.5166666666667
trawlers,GEO,20,2497.883333333333
trawlers,ITA,19,1282.65
trawlers,DEU,17,367.26666666666665
trawlers,AGO,15,920.2
trawlers,KNA,14,1401.7
trawlers,BRA,11,223.91666666666666
trawlers,GIN,11,844.0
trawlers,GNB,11,2018.7833333333333
trawlers,GRL,11,249.45
trawlers,MOZ,10,490.76666666666665
trawlers,COM,7,535.4499999999999
trawlers,LTU,7,148.66666666666669
trawlers,ISL,5,110.15
trawlers,POL,5,712.5666666666666
