month,month_name,gap_count,gap_count_share,total_gap_hours,gap_hours_share,total_hours,hours_share,total_fishing_hours,fishing_hours_share
1,Jan,3725,0.0672771275827192,398125.7833333333,0.0716245169170089,17208667.864700004,0.0751808590033469,6555543.573399999,0.0748795473142914
2,Feb,4717,0.0851936136396474,500310.6,0.0900079988124161,14242279.999099998,0.0622213673316886,5060959.573899997,0.0578079235728448
3,Mar,5135,0.0927431007079901,481416.7,0.0866089060713031,17558317.270899996,0.076708399828401,6456171.133100003,0.0737444830344394
4,Apr,4115,0.0743209073833261,378917.7833333333,0.0681689162537632,18372043.765699994,0.0802633906826517,7202929.395700005,0.0822741983861282
5,May,4059,0.0733094928478543,490102.45,0.0881715093335265,14300519.0044,0.0624758006486879,4746327.6137999995,0.0542140951619573
6,Jun,3942,0.0711963589076723,476921.5833333333,0.0858002155186843,13980417.176600002,0.0610773466502869,4963599.8516,0.0566958492115287
7,Jul,5428,0.0980349660453691,512485.43333333335,0.0921983029638933,14971231.7724,0.0654059962012553,5218579.295999999,0.0596083072186103
8,Aug,5204,0.0939893079034821,517658.6666666667,0.0931289895808129,19948481.911299996,0.0871504998350671,7903104.017400006,0.090271820265508
9,Sep,5373,0.0970416124837451,518247.81666666665,0.093234980164463,23869191.253500007,0.1042792107013909,9704777.280200005,0.1108511172858398
10,Oct,5555,0.1003287097240283,528726.5,0.095120139737381,24971885.852300003,0.1090966392093924,10078622.4304,0.1151212979808787
11,Nov,4660,0.0841641381303279,438021.85,0.0788019885139597,26950238.10210002,0.117739622078291,11718956.635999998,0.1338577279022456
12,Dec,3455,0.0624006646438375,317577.48333333334,0.0571335361327878,22523656.6132,0.0984008678295397,7938281.830200002,0.0906736326657274
