geartype,grid_rows,total_hours,total_fishing_hours,vessel_presence
trawlers,6141976,175429951.6561,68741910.6701,24087054
fishing,2734725,82260054.2551,17955446.570100002,8704066
drifting_longlines,12638506,45963950.2979,26495897.2661,17944521
set_gillnets,615169,40750576.7771,8884431.5723,2079258
fixed_gear,751240,21408894.9402,4928696.3151,1788799
set_longlines,1827365,20651280.0283,6952104.7686,3214201
other_purse_seines,709663,19817201.9825,2764800.8991,2590082
squid_jigger,1871902,12475302.305399999,2788328.892,4642288
tuna_purse_seines,3749172,7943288.0682,1574450.8819,4654994
pole_and_line,619327,7259442.4793,1276662.9213999999,1443092
dredge_fishing,102022,4914186.9153,1218980.3327,253367
pots_and_traps,369628,3720714.326,908895.409,609477
seiners,94251,2101610.4368,229114.803,252583
purse_seines,165443,1462188.1786,187150.3142,230190
other_seines,80839,1440994.9116,244698.6923,144186
trollers,58967,722086.3167,123883.1111,87275
