month_period,month,month_name,grid_rows,total_hours,total_fishing_hours,vessel_presence,unique_flags,unique_geartypes
2017-01,1,Jan,716328,8479572.637299998,2440180.4165999987,1475789.0,156,16
2017-02,2,Feb,671569,8237554.995899998,2391755.625900001,1403717.0,154,16
2017-03,3,Mar,709369,10945621.512800006,3361182.3547000014,1634311.0,161,16
2017-04,4,Apr,748563,11730769.6914,3963534.356699999,1790960.0,166,16
2017-05,5,May,827030,8885859.5034,2848766.3421999994,1550685.0,149,16
2017-06,6,Jun,789497,8913441.9434,2920603.364399999,1535336.0,142,16
2017-07,7,Jul,806116,9678778.521899998,3223446.6050000004,1572331.0,151,16
2017-08,8,Aug,874063,13049253.157,4557693.245499999,2000808.0,169,16
2017-09,9,Sep,888739,16582669.083900003,6175179.800300001,2316488.0,176,16
2017-10,10,Oct,896793,14275933.917400002,4717243.926300003,2145953.0,178,16
2017-11,11,Nov,832946,12990647.849699996,4308230.2302,1970360.0,173,16
2017-12,12,Dec,772639,11151787.187600005,3365160.370499999,1760888.0,172,16
2018-01,1,Jan,863086,10477618.2991,3031172.597799999,1865270.0,170,16
2018-02,2,Feb,778324,9332090.6419,2727451.1704000006,1714158.0,167,16
2018-03,3,Mar,896539,12601940.6274,3854141.458299999,2113426.0,173,16
2018-04,4,Apr,966194,13736264.997600002,4770765.693500002,2284748.0,173,16
2018-05,5,May,1051914,10155416.505,3380052.043300001,2029734.0,155,16
2018-06,6,Jun,975530,9741975.2848,3355623.992300001,1913510.0,148,16
2018-07,7,Jul,968055,10780975.0562,3770693.1270999997,1928486.0,156,16
2018-08,8,Aug,969890,13590548.628800001,4589588.4322,2193754.0,180,16
2018-09,9,Sep,1012105,16540722.6278,5569622.6209,2502348.0,180,16
2018-10,10,Oct,1011158,16219266.046700006,5452421.358399997,2467241.0,182,16
2018-11,11,Nov,925433,14569943.371100003,4731605.536800001,2198046.0,179,16
2018-12,12,Dec,861903,12713496.185200002,3652860.4694000008,1959072.0,175,16
2019-01,1,Jan,928178,11885229.918199996,3463782.5268999995,2055584.0,168,16
2019-02,2,Feb,831969,10564054.034100005,3120196.527999998,1815233.0,173,16
2019-03,3,Mar,954653,13746301.3105,4214938.9662999995,2208587.0,177,16
2019-04,4,Apr,1074277,14344673.2202,4851790.066599996,2458915.0,189,16
2019-05,5,May,1017922,11082241.313,3587443.0744999987,1980695.0,159,16
2019-06,6,Jun,969442,10761802.847100005,3623518.9773999983,1947114.0,154,16
2019-07,7,Jul,1004659,11622385.815699998,3841582.6728999997,2017745.0,155,16
2019-08,8,Aug,1015257,14473807.220399996,4805279.464300001,2331290.0,180,16
2019-09,9,Sep,1046137,18371048.948400013,6149178.020099998,2723681.0,190,16
2019-10,10,Oct,1037722,17270715.995200012,5830161.026700004,2573527.0,185,16
2019-11,11,Nov,933034,15280145.7428,4794073.288799998,2244817.0,180,16
2019-12,12,Dec,903162,13537169.236200007,3834533.6678000027,2040826.0,179,16
