month,month_name,total_hours,total_fishing_hours,vessel_presence,hours_share,fishing_hours_share
1,Jan,17208667.864700004,6555543.573399999,2976155.0,0.07518085900334696,0.07487954731429149
2,Feb,14242279.999099998,5060959.573899997,2612862.0,0.06222136733168867,0.057807923572844845
3,Mar,17558317.270899996,6456171.133100003,2966250.0,0.07670839982840105,0.07374448303443941
4,Apr,18372043.765699994,7202929.395700005,3130307.0,0.08026339068265174,0.08227419838612823
5,May,14300519.0044,4746327.6137999995,2675994.0,0.062475800648687956,0.05421409516195731
6,Jun,13980417.176600002,4963599.8516,2646851.0,0.06107734665028691,0.0566958492115287
7,Jul,14971231.772400001,5218579.295999999,2601460.0,0.06540599620125531,0.05960830721861035
8,Aug,19948481.911299996,7903104.017400006,3210324.0,0.0871504998350671,0.09027182026550801
9,Sep,23869191.253500007,9704777.280200003,3882641.0,0.10427921070139091,0.11085111728583988
10,Oct,24971885.852300003,10078622.430399999,3777705.0,0.1090966392093924,0.11512129798087878
11,Nov,26950238.10210002,11718956.635999998,3856789.0,0.11773962207829107,0.13385772790224562
12,Dec,22523656.613199998,7938281.830200002,3405693.0,0.09840086782953972,0.0906736326657274
