flag,gap_count,unique_vessels,total_gap_hours,average_gap_hours,share_of_all_gaps
CHN,15624,1140,1216059.85,77.8328116999488,0.28218465539661897
TWN,12867,843,1120752.9166666667,87.10289241211368,0.23239055049848287
ESP,4100,281,610747.2833333333,148.9627520325203,0.07404999277561046
USA,3543,432,495394.98333333334,139.8235911186377,0.06399003034243607
KOR,2618,176,345894.6,132.1216959511077,0.047283629533304436
FRA,1384,124,104424.15,75.45097543352601,0.024996387805230457
JPN,1248,303,131198.01666666666,105.12661591880341,0.022540095361941917
VUT,1016,62,78477.08333333333,77.24122375328083,0.018349949429273225
ECU,898,29,123568.76666666666,137.60441722345954,0.01621875451524346
LKA,736,106,21403.38333333333,29.08068387681159,0.013292876751914463
RUS,714,253,37527.26666666667,52.55919701213819,0.012895535327264847
UNKNOWN,707,126,63381.95,89.6491513437058,0.012769108510330878
PRT,661,77,49885.53333333333,75.46979324256178,0.011938303713336222
PAN,606,21,102864.85,169.74397689768978,0.010944950151712181
SYC,605,48,116278.5,192.19586776859504,0.01092688917786447
ARG,483,168,15775.233333333334,32.66093857832988,0.008723450368443866
AUS,463,51,67981.05,146.82732181425487,0.008362230891489669
PHL,420,23,43249.583333333336,102.97519841269842,0.007585609016038145
FSM,414,28,28282.733333333334,68.3157809983897,0.007477243172951885
ZAF,378,82,28722.266666666666,75.98483245149912,0.0068270481144343306
NZL,375,49,56176.683333333334,149.8044888888889,0.006772865192891201
MEX,304,28,50620.98333333333,166.51639254385964,0.0054905360497038
BLZ,304,8,28745.983333333334,94.55915570175439,0.0054905360497038
FJI,282,35,21334.466666666667,75.65413711583925,0.0050931946250541826
PNG,274,29,27400.716666666667,100.00261557177616,0.004948706834272504
CUW,253,5,45473.566666666666,179.73741765480895,0.004569426383470597
MUS,234,29,22591.783333333333,96.54608262108262,0.0042262678803641094
NOR,226,82,18203.25,80.54535398230088,0.00408178008958243
GBR,225,48,19233.433333333334,85.48192592592594,0.004063719115734721
MHL,214,13,21029.05,98.26658878504672,0.0038650484034099116
IRL,199,49,9987.216666666667,50.187018425460636,0.0035941337956942637
VEN,195,28,71626.0,367.3128205128205,0.0035218899003034245
SEN,194,21,27696.916666666668,142.7676116838488,0.0035038289264557143
