month_period,lat_bin_1deg,lon_bin_1deg,gap_count,total_gap_hours,unique_vessels
2017-01,-46,-61,174,8224.466666666667,38
2017-01,-19,-79,15,1212.1666666666665,12
2017-01,-47,-61,13,943.9666666666666,9
2017-01,-43,-58,13,2832.75,10
2017-01,57,-173,12,1525.3166666666666,9
2017-01,58,-174,11,4403.8,8
2017-01,56,-168,9,993.6,3
2017-01,-9,-109,8,150.9,1
2017-01,57,-174,8,3923.633333333333,7
2017-01,-45,-61,7,2100.65,5
2017-01,-20,171,7,191.58333333333334,5
2017-01,-43,-59,6,197.73333333333335,6
2017-01,-19,-78,6,783.6,6
2017-01,10,-18,6,238.65,3
2017-01,-21,171,5,347.96666666666664,5
2017-01,-18,-79,5,93.88333333333333,5
2017-01,-17,121,5,80.18333333333334,1
2017-01,-41,-167,4,74.26666666666667,1
2017-01,-14,124,4,63.28333333333333,1
2017-01,-3,-166,4,274.76666666666665,4
2017-01,-3,-165,4,251.4,4
2017-01,0,-118,4,54.43333333333334,3
2017-01,1,-4,4,767.0166666666667,4
2017-01,1,-2,4,299.18333333333334,3
2017-01,11,-18,4,282.8,3
2017-01,56,-167,4,79.81666666666666,2
2017-01,-45,-60,3,577.1666666666666,3
2017-01,-36,19,3,120.13333333333333,3
2017-01,-28,172,3,332.3666666666667,2
2017-01,-23,13,3,381.95000000000005,2
2017-01,-23,152,3,193.01666666666665,1
2017-01,-21,-24,3,286.33333333333337,2
2017-01,-20,-105,3,185.4333333333333,1
2017-01,-20,-79,3,62.766666666666666,3
2017-01,-20,172,3,230.78333333333333,3
2017-01,-19,-93,3,700.25,3
2017-01,-19,171,3,43.5,2
2017-01,-17,-170,3,217.88333333333333,2
2017-01,-15,51,3,44.766666666666666,3
2017-01,-12,-110,3,51.11666666666667,1
2017-01,-9,54,3,53.68333333333333,2
2017-01,-2,-4,3,108.23333333333333,3
2017-01,-2,1,3,106.38333333333334,3
2017-01,-2,160,3,65.2,1
2017-01,-2,173,3,165.51666666666668,3
2017-01,-1,171,3,226.66666666666663,3
2017-01,1,161,3,49.800000000000004,1
2017-01,2,-4,3,1381.1666666666667,3
2017-01,2,56,3,882.9333333333334,3
2017-01,2,58,3,134.78333333333333,3
2017-01,3,-4,3,1306.3333333333335,3
2017-01,15,176,3,65.9,1
2017-01,26,-160,3,107.63333333333333,2
2017-01,27,-160,3,170.48333333333335,3
2017-01,29,-167,3,59.333333333333336,2
2017-01,49,-12,3,48.916666666666664,3
2017-01,52,-16,3,53.83333333333333,1
2017-01,52,-14,3,99.41666666666667,3
2017-01,55,-169,3,1034.7333333333333,3
2017-01,-44,-59,2,492.05,2
2017-01,-44,177,2,284.05,2
2017-01,-30,14,2,87.89999999999999,2
2017-01,-28,171,2,39.0,1
2017-01,-27,38,2,42.35,1
2017-01,-23,-171,2,32.13333333333333,1
2017-01,-23,55,2,32.38333333333334,2
2017-01,-22,170,2,126.85,2
2017-01,-21,170,2,34.05,2
2017-01,-21,176,2,27.916666666666668,2
2017-01,-20,-133,2,36.05,1
2017-01,-20,-132,2,31.366666666666667,1
2017-01,-20,-93,2,586.1,2
2017-01,-20,-78,2,66.91666666666667,2
2017-01,-19,-105,2,102.10000000000001,2
